before	3			
beg	2			
beggar	2			
begin	3			
beginner	3			
beginning	3			
behalf	1			
behave	2			
behavior	2			
behind	3			
being	2			
belief	2			
believe	3			
bell	3			
belong	3			
beloved	1			
below	3			
belt	3			
bench	3			
bend	2			
beneath	2			
beneficial	1	fac		
benefit	2	fac		
berry	2			
beside	3			
besides	3			
best	3			
bet	2			
betray	1			
better	3			
between	3			
beyond	3			
Bible	2	bibli		
bicycle	3	circ		
big	3			
bike	3			
bill	2			
billion	3			
bind	2			
biology	2	bio	bio,log	bio(生命)+log(学科)，研究生命的学科
bird	3			
birth	3			
birthday	3			
biscuit	2			
bit	3			
bite	3			
bitter	2			
bitterly	2			
black	3			
blackboard	3			
blade	2			
blame	2			
blank	2			
blanket	2			
blast	1			
blaze	1			
bleed	2			
blend	2			
bless	2			
blind	3			
block	3			
blood	3			
bloom	2			
blossom	2			
blow	3			
blue	3			
board	3			
boast	1			
boat	3			
body	3			
boil	3			
bold	2			
bolt	1			
bomb	2			
bond	2			
bone	3			
book	3			
boot	3			
booth	1			
border	2			
bore	1			
born	3			
borrow	3			
bosom	1			
boss	3			
both	3			
bother	2			
bottle	3			
bottom	3			
bough	1			
bounce	1			
bound	2			
boundary	2			
bow	2			
bowl	3			
box	3			
boy	3			
brain	3			
brake	2			
branch	3			
brand	2			
brandy	1			
brass	1			
brave	2			
bread	3			
breadth	1			
break	3			
breakfast	3			
breast	2			
breath	3			
breathe	3			
breed	2			
breeze	1			
brick	2			
bridge	3			
brief	2	brev		
bright	3			
brighten	2			
brilliant	2			
brim	1			
bring	3			
brisk	1			
bristle	1			
Britain	2			
British	2			
brittle	1			
broad	3			
broadcast	2			
broken	2			
bronze	1			
brood	1			
brook	1			
broom	2			
brother	3			
brow	1			
brown	3			
bruise	1			
brush	3			
brute	1			
bubble	2			
bucket	3			
bud	1			
build	3			
building	3			
bulb	1			
bulk	1			
bull	2			
bullet	2			
bunch	2			
bundle	2			
burden	2			
bureau	1			
burn	3			
burst	2			
bury	2			
bus	3			
bush	3			
business	3			
busy	3			
but	3			
butcher	2			
butter	3			
butterfly	3			
button	3			
buy	3			
by	3			
cabbage	3			
cabin	1			
cabinet	1			
cable	2			
cafe	2			
cafeteria	1			
cage	3			
cake	3			
calculate	2			
calculation	2			
