pride	2			
priest	2			
primarily	1	prim		
primary	2	prim		
prime	2	prim		
primitive	1	prim		
prince	2	prim		
princess	2	prim		
principal	1	prim		
principle	2	prim		
print	2			
prior	1			
prison	2	prehend		
prisoner	2	prehend		
private	1	priv		
privilege	1	priv		
prize	2			
probability	1	prob		
probable	2	prob		
probably	3	prob		
problem	3			
procedure	1	ced		
proceed	1	ced		
process	2	ced		
procession	1	ced		
proclaim	1	claim		
produce	2	duc		
product	2	duc		
production	2	duc		
productive	1	duc		
profession	1			
professional	2			
professor	2			
profit	2	fac		
program	2	graph		
progress	2	grad		
progressive	1	grad		
prohibit	1	hab		
project	2	ject		
prominent	1			
promise	2	mit		
promising	1	mit		
promote	1	mob		
prompt	1			
pronoun	1	nom		
pronounce	2	nounc		
pronunciation	2	nounc		
proof	2	prob		
proper	2	propri		
properly	2	propri		
property	2	propri		
proportion	1	part		
proportional	1	part		
proposal	1	pon		
propose	2	pon		
prospect	2	spec		
prosperity	1	sper		
prosperous	1	sper		
protect	2	tect		
protection	2	tect		
protective	1	tect		
protein	1	proto		
protest	2	test		
proud	3			
prove	2	prob		
provide	2	vid		
provided	1	vid		
province	1			
provision	1	vid		
psychological	1	psych	psych,log	psych(心理)+log(学科)
public	2	popul		
publication	1	popul		
publish	2	popul		
pudding	2			
puff	2			
pull	3			
pulse	2	pel		
pump	2			
punch	2	punct		
punctual	1	punct		
punish	2	pen		
punishment	2	pen		
pupil	3			
puppet	2			
purchase	1			
pure	3			
purely	3			
purify	1			
purity	1			
purple	3			
purpose	2	pon		
purse	2			
pursue	1	sequ		
pursuit	1	sequ		
push	3			
put	3			
puzzle	2			
qualify	1			
quality	2			
quantity	2			
quarrel	2			
quart	2			
quarter	3			
quarterly	1			
queen	3			
queer	1			
question	3	quir		
queue	1			
quick	3			
quicken	2			
quickly	3			
quiet	3			
quilt	2			
quit	2			
quite	3			
quiz	2			
quotation	1			
quote	2			
rabbit	3			
race	3			
racial	1			
rack	2			
racket	2			
radar	2			
radiate	1			
radiation	1			
radio	3			
radioactive	1	act		
radioactivity	1	act		
radish	2			
radium	1			
radius	1			
rag	2			
rage	1			
raid	1			
rail	2			
railroad	2			
railway	2			
rain	3			
rainbow	3			
rainy	3			
raise	2			
rake	2			
range	2			
rank	2			
rapid	2			
rapidly	2			
rare	2			
rarely	2			
rat	3			
rate	2			
rather	2			
ratio	1			
rational	1			
raw	2			
ray	2			
razor	2			
reach	3			
react	2	act		
reaction	2	act		
read	3			
reader	3			
readily	1			
reading	3			
ready	3			
real	3			
reality	2			
realize	2			
really	3			
realm	1			
reap	1			
rear	1			
reason	3			
reasonable	2			
rebel	1			
rebellion	1			
