calculator	1			
calendar	2			
call	3			
calm	3			
camel	3			
camera	3			
camp	3			
campaign	2			
campus	2			
can	3			
Canada	3			
Canadian	3			
canal	2			
cancel	2			
cancer	2			
candidate	1	cand		
candle	3	cand		
candy	3			
cannon	2			
canoe	2			
canteen	2			
canvas	2			
cap	3			
capable	1	cap		
capacity	1	cap		
capital	1	capit		
captain	2	capit		
captive	1	cap		
capture	1	cap		
car	3			
carbon	2			
card	3			
care	3			
career	2			
careful	3			
careless	3			
cargo	2			
carpenter	2			
carpet	2			
carriage	2			
carrier	2			
carrot	3			
carry	3			
cart	3			
carve	2			
case	3	cad		
cash	2			
cassette	2			
cast	2			
castle	3			
casual	1	cad		
cat	3			
catalog	1	log		
catch	3			
cathedral	2			
cattle	3			
cause	2			
cave	2			
cease	1	ced		
ceiling	2			
celebrate	2			
cell	2			
cellar	2			
cement	2			
cent	3	cent		
centigrade	2	cent	cent,grad	cent(百)+grad(步)，百分度
centimetre	2	cent	cent,meter	cent(百)+meter(测量)，百分之一米
central	2			
centre	3			
century	2	cent		
ceremony	2			
certain	2	cern		
certainly	2	cern		
certainty	2	cern		
certificate	1	cern		
chain	3			
chair	3			
chairman	3			
chalk	3			
challenge	2			
chamber	2			
champion	2			
chance	3	cad		
change	3			
channel	2			
chapter	2	capit		
character	2			
characteristic	1			
charge	2			
charity	1			
charming	2			
chart	2			
chase	2			
cheap	2			
cheat	2			
check	3			
cheek	3			
cheer	2			
cheerful	2			
cheese	3			
chemical	2			
chemist	2			
chemistry	2			
cheque	2			
cherry	3			
chess	2			
chest	3			
chew	3			
chicken	3			
chief	2	capit		
child	3			
childhood	3			
childish	3			
chill	2			
chimney	2			
chin	3			
China	3			
Chinese	3			
chocolate	3			
choice	3			
choke	2			
choose	3			
chop	2			
Christian	2			
Christmas	3			
church	3			
cigarette	2			
cinema	2			
circle	2	circ		
circuit	1	circ		
circular	2	circ		
circulate	1	circ		
circumference	1	fer		
circumstance	2	sist		
citizen	2	civ		
city	3	civ		
civil	2	civ		
civilization	2	civ		
civilize	2	civ		
claim	1	claim		
clap	2			
clarify	1	clar		
clasp	2			
class	3			
classical	2			
classification	1			
classify	1			
classmate	3			
classroom	3			
claw	3			
clay	3			
clean	3			
clear	3	clar		
clearly	3	clar		
clerk	2			
clever	3			
cliff	2			
climate	2			
climb	3			
cloak	2			
clock	3			
close	3	clud		
closely	3	clud		
cloth	3			
clothe	2			
clothes	3			
clothing	3			
cloud	3			
cloudy	3			
club	3			
clue	2			
clumsy	2			
coach	2			
coal	3			
coarse	2			
coast	2			
