fade	2			
Fahrenheit	2			
fail	3			
failure	2			
faint	2			
fair	3			
fairly	2			
faith	2	fid		
faithful	2	fid		
fall	3			
false	3			
fame	2			
familiar	2			
family	3			
famine	1			
famous	3			
fan	3			
fancy	2			
far	3			
fare	2			
farewell	2			
farm	3			
farmer	3			
farther	3			
fashion	2			
fashionable	2			
fast	3			
fasten	2			
fatal	2			
fate	2			
father	3			
father-in-law	2			
fatigue	1			
fault	2			
faulty	2			
favour	2			
favourable	2			
favourite	3			
fear	3			
fearful	2			
feasible	1	fac		
feast	2			
feather	2			
feature	2			
February	3			
federal	1			
fee	2			
feeble	2			
feed	3			
feedback	2			
feel	3			
feeling	3			
fellow	2			
female	2			
fence	2			
fertile	2	fer		
fertilizer	2	fer		
festival	3			
fetch	2			
fever	2			
few	3			
fibre	1			
fiction	2			
field	3			
fierce	2			
fifteen	3			
fifth	3			
fifty	3			
fight	3			
figure	2			
file	2			
fill	3			
film	3			
filter	2			
final	2	fin		
finally	2	fin		
finance	2	fin		
financial	2	fin		
find	3			
finding	2			
fine	3	fin		
finger	3			
finish	3	fin		
fire	3			
fireman	3			
firm	2	firm		
first	3			
fish	3			
fisherman	3			
fist	2			
fit	3			
five	3			
fix	3			
flag	2			
flame	2			
flare	1			
flash	2			
flat	3			
flavour	2			
fleet	1			
flesh	2			
flexible	2	flect		
flight	2			
float	2			
flock	2			
flood	3			
floor	3			
flour	2	flor		
flourish	1	flor		
flow	2			
flower	3	flor		
flu	2	flu		
fluent	2	flu		
fluid	2	flu		
flush	2			
fly	3			
focus	2			
fog	3			
fold	3			
folk	2			
follow	3			
following	2			
fond	2			
food	3			
fool	3			
foolish	3			
foot	3			
football	3			
footstep	2			
for	3			
forbid	2			
force	2	fort		
forecast	2			
forehead	3			
foreign	2			
foreigner	2			
foremost	1			
forest	3			
forever	3			
forget	3			
forgive	2			
fork	3			
form	2	form		
formal	2	form		
formation	2	form		
former	2	form		
formula	2	form		
forth	1			
fortnight	1			
fortunate	2			
fortunately	2			
fortune	2			
forty	3			
forward	3			
found	2	fund		
foundation	2	fund		
fountain	2			
four	3			
fourteen	3			
fourth	3			
fox	3			
fraction	2	frag		
fragment	2	frag		
frame	2			
framework	2			
France	3			
frank	2			
free	3			
freedom	2			
freely	2			
freeze	3			
freight	1			
French	3			
frequency	2			
frequent	2			
frequently	2			
