moral	1			
more	3			
moreover	2			
morning	3			
mortal	1	mor		
mosquito	1			
most	3			
mostly	2			
mother	3			
motion	1	mob		
motivate	1	mob		
motive	1	mob		
motor	2	mob		
mould	1			
mount	1			
mountain	2			
mourn	1			
mouse	3			
mouth	3			
mouthful	2			
move	3	mob		
movement	2	mob		
movie	3			
much	3			
mud	3			
muddy	2			
mug	2			
multiple	1			
multiply	1			
murder	2			
murderer	2			
muscle	1			
museum	1			
mushroom	2			
music	3			
musical	2			
musician	2			
must	3			
mute	1			
mutter	1			
mutton	2			
mutual	1			
my	3			
myself	3			
mysterious	1			
mystery	1			
nail	3			
naked	2			
name	3			
namely	2			
nap	1			
narrow	3			
nasty	1			
nation	2	nat		
national	2	nat		
nationality	2	nat		
native	2	nat		
natural	2	nat		
naturally	2	nat		
nature	2	nat		
naughty	2			
naval	1	nav		
navigation	1	nav		
navy	1	nav		
near	3			
nearby	2			
nearly	3			
neat	2			
necessarily	1	ced		
necessary	1	ced		
necessity	1	ced		
neck	3			
necklace	2			
need	3			
needle	2			
needless	2			
negative	1	neg		
neglect	1	lect		
Negro	2			
neighbour	3			
neighbourhood	2			
neither	3			
nephew	2			
nerve	1	neur		
nervous	2	neur		
nest	3			
net	3			
network	2			
neutral	1			
never	3			
nevertheless	2			
new	3			
newly	2			
news	3			
newspaper	2			
next	3			
nice	3			
niece	2			
night	3			
nine	3			
nineteen	3			
ninety	3			
ninth	3			
nitrogen	1	gen		
no	3			
noble	2			
nobody	3			
nod	3			
noise	3			
noisy	2			
none	3			
nonsense	2			
noon	3			
nor	3			
normal	2			
normally	2			
north	3			
northeast	2			
northern	2			
northwest	2			
nose	3			
not	3			
note	2			
notebook	2			
nothing	3			
notice	2			
noticeable	2			
noun	2	nom		
novel	2	nov		
November	2			
now	3			
nowadays	2			
nowhere	2			
nuclear	1			
nucleus	1			
nuisance	1			
number	2	numer		
numerous	1	numer		
nurse	2	nutri		
nursery	2	nutri		
nut	3			
nylon	1			
oak	2			
oar	1			
obey	1	aud		
object	2	ject		
objection	1	ject		
objective	1	ject		
oblige	1			
observation	1	serv		
observe	2	serv		
observer	2	serv		
obstacle	1	sist		
obtain	1	tain		
obvious	1	vi		
obviously	1	vi		
occasion	1	cad		
occasional	1	cad		
occasionally	1	cad		
occupation	2	cap		
occupy	2	cap		
occur	1	cur		
occurrence	1	cur		
ocean	2			
Oceania	1			
o	3			
October	2			
odd	2			
odour	1			
of	3			
off	3			
offend	1			
offer	2	fer		
office	2	fac		
officer	2	fac		
official	2	fac		
