luggage	2			
lumber	1			
lump	2			
lunch	3			
lung	3			
luxury	2			
machine	3			
mad	3			
madam	3			
magazine	2			
magic	3			
magnet	2			
magnetic	2			
magnificent	1	magn	magn,fac	magn(大)+fac(做),做得巨大→壮丽
maid	2			
mail	3			
main	3			
mainly	3			
mainland	2			
maintain	1	tain	man,tain	man(手)+tain(持),用手持住→维持
maintenance	1	tain	man,tain	man(手)+tain(持),持住不放→保持
major	2	magn		
majority	2	magn		
make	3			
male	2			
man	3			
manage	2	man		
management	2	man		
manager	3	man		
mankind	2			
manly	1			
manner	2			
manual	1	man		
manufacture	2	man	man,fac	man(手)+fac(做),用手做出→制造
manufacturer	2	man	man,fac	man(手)+fac(做),制作的人
many	3			
map	3			
marble	1			
March	3			
margin	1			
marine	1	mar		
mark	3			
market	3			
marriage	2			
married	3			
marry	3			
marvelous	2			
Marxism	2			
Marxist	2			
mask	2			
mass	2			
master	3			
masterpiece	1			
mat	2			
match	3			
mate	2			
material	2			
materialism	1			
mathematical	2			
mathematics	3			
maths	3			
matter	2			
mature	1			
maximum	1	magn		
May	3			
maybe	3			
mayor	2	magn		
me	3			
meadow	1			
meal	3			
mean	3			
meaning	3			
means	2			
meantime	2			
meanwhile	2			
measurable	1			
measure	2			
measurement	2			
meat	3			
mechanic	1			
mechanical	2			
mechanically	1			
mechanics	1			
medal	1			
medical	2			
medicine	2			
Mediterranean	1	med	med,terr	med(中)+terr(土地),陆地中间的海
medium	1	med		
meet	3			
meeting	3			
melon	3			
melt	2			
member	2			
memorial	1	memor		
memory	2	memor		
mend	2			
mental	2	ment		
mention	2	ment		
menu	2			
merchant	1			
mercury	1			
mercy	1			
mere	1			
merely	2			
merit	1			
merry	3			
mess	2			
message	2	mit		
messenger	1	mit		
metal	2			
meter	1	meter		
method	2			
metre	1	meter		
metric	1	meter		
microcomputer	1	micro		
microphone	1	micro	micro,phon	micro(小)+phon(声音),放大微小声音
microscope	1	micro	micro,scop	micro(小)+scop(看),看微小之物
midday	2			
middle	3			
midnight	3			
midst	1			
might	3			
mild	2			
mile	2			
military	1	milit		
milk	3			
mill	1			
millimetre	1	meter		
million	3			
mind	3			
mine	3			
miner	2			
mineral	1			
minimum	1	min		
minister	1	min		
ministry	1	min		
minor	1	min		
minority	1	min		
minus	1	min		
minute	3	min		
miracle	1			
mirror	2			
miserable	1			
mislead	1			
miss	3			
missile	1	mit		
missing	2			
mission	2	mit		
mist	2			
mistake	3			
Mister	3			
mistress	1			
misunderstand	2			
mix	3			
mixture	1			
moan	1			
mobile	1	mob		
mode	2			
model	2			
moderate	1			
modern	2			
modest	1			
modify	1			
moist	1			
moisture	1			
molecule	1			
moment	2	mob		
Monday	3			
money	3			
monitor	1	mon		
monkey	3			
month	3			
monthly	3			
monument	1	mon		
mood	2			
moon	3			
