a	3			
abandon	1			
ability	2	hab		
able	3	hab		
abnormal	1			
aboard	2			
about	3			
above	3			
abroad	2			
absence	1			
absent	2			
absolute	2	solv		
absolutely	2	solv		
absorb	2			
abstract	1	tract		
abundant	1			
abuse	1			
academic	1			
academy	1			
accelerate	1	celer		
acceleration	1	celer		
accent	2			
accept	2	cap		
acceptable	1	cap		
acceptance	1	cap		
access	1	ced		
accessory	1	ced		
accident	2	cad		
accidental	1	cad		
accommodate	1			
accommodation	1			
accompany	1			
accomplish	1	ple		
accord	1			
accordance	1			
accordingly	1			
account	2			
accumulate	1			
accuracy	1	cur		
accurate	1	cur		
accuse	1			
accustom	1			
accustomed	1			
ache	2			
achieve	2			
achievement	1			
acid	1			
acquaintance	1	cogn		
acquire	1	quir		
acre	1			
across	3			
act	2	act		
action	2	act		
active	2	act		
activity	2	act		
actor	2	act		
actress	2	act		
actual	1	act		
actually	2	act		
acute	1			
ad	2			
adapt	1			
add	3			
addition	2			
additional	1			
address	2			
adequate	1	equ		
adjective	1	ject		
adjust	1	jud		
administration	1			
admire	1			
admission	1	mit		
admit	1	mit		
adopt	1	opt		
adult	2			
advance	1			
advanced	1			
advantage	1			
adventure	1	ven		
adverb	1	verb		
advertisement	1	vert		
advice	2	vid		
advisable	1	vid		
advise	1	vid		
aeroplane	1	aer		
affair	1			
affect	1	fac		
affection	1	fac		
afford	1			
afraid	3			
africa	3			
african	3			
after	3			
afternoon	3			
afterward	2			
again	3			
against	3			
age	3			
agency	1	act		
agent	1	act		
aggressive	1	grad		
ago	3			
agony	1			
agree	2	grat		
agreement	2	grat		
agriculture	1			
ahead	2			
aid	1			
aim	2			
air	3	aer		
aircraft	1	aer		
airline	1	aer		
airplane	2	aer		
airport	2	aer		
alarm	1			
alcohol	1			
alike	3			
alive	3			
all	3			
allow	2			
alloy	1			
almost	3			
alone	3			
along	3			
aloud	2			
alphabet	1			
already	3			
also	3			
alter	1	alter		
alternative	1	alter		
although	2			
altitude	1			
altogether	1			
aluminium	1			
always	3			
a.m	2			
amaze	1			
ambition	1			
ambulance	1			
america	3			
american	3			
among	3			
amongst	2			
amount	2			
ampere	1			
amplify	1			
amuse	1			
analyse	1			
analysis	1			
ancestor	1	ced		
anchor	1			
ancient	1			
and	3			
angel	1			
anger	2			
angle	1			
angry	3			
animal	3	anim		
ankle	1			
announce	1	nounc		
announcer	1	nounc		
annoy	1			
annual	1	ann		
another	3			
answer	3			
ant	3			
anticipate	1	cap		
anxiety	1			
anxious	1			
any	3			
anybody	3			
anyhow	2			
anyone	3			
anything	3			
anyway	2			
anywhere	3			
