impressive	2			
imprison	1	prehend		
improve	3	prob		
improvement	2	prob		
in	3			
inch	3			
incident	2	cad		
incline	1			
include	3	clud		
income	3			
incorrect	3	reg		
increase	3	creas		
increasingly	2	creas		
indeed	3			
indefinite	1	fin		
independence	2	pend		
independent	2	pend		
index	2	dic		
India	3			
Indian	3			
indicate	2	dic		
indication	1	dic		
indifferent	1	fer		
indignant	1			
indirect	2	reg		
indispensable	1	pend		
individual	2			
indoors	3			
industrial	2			
industrialize	1			
industry	2			
inefficient	1	fac		
inevitable	1			
inexpensive	2	pend		
infant	1			
infect	2	fac		
infer	2	fer		
inferior	1			
infinite	1	fin		
influence	2	flu		
influential	1	flu		
inform	2	form		
information	3	form		
inhabit	1	hab		
inhabitant	1	hab		
inherit	1			
initial	1			
injection	1	ject		
injure	2	jud		
injury	2	jud		
ink	3			
inn	3			
inner	2			
innocent	2			
input	2			
inquire	1	quir		
inquiry	1	quir		
insect	2	sec		
insert	1			
inside	3			
insist	2	sist		
inspect	1	spec		
inspection	1	spec		
inspire	1	spir		
install	2			
installation	1			
instance	1	sist		
instant	2	sist		
instantly	2	sist		
instead	3			
instinct	1			
institute	1	sist		
institution	1	sist		
instruct	2	stru		
instruction	1	stru		
instrument	2	stru		
insufficient	1	fac		
insult	2	sal		
insurance	1	cur		
insure	1	cur		
intellectual	1	lect		
intelligence	1	lect		
intelligent	2	lect		
intend	2	tend		
intense	1	tend		
intensity	1	tend		
intensive	1	tend		
intention	2	tend		
intentional	1	tend		
interaction	1	act		
interest	3			
interesting	3			
interfere	1	fer		
interference	1	fer		
interior	1			
intermediate	1	med		
internal	1			
international	2	nat		
interpret	1			
interpretation	1			
interpreter	1			
interrupt	2	rupt		
interruption	1	rupt		
interval	1			
interview	2	vid		
intimate	1			
into	3			
introduce	3	duc		
introduction	2	duc		
invade	1	vad		
invasion	1	vad		
invent	2	ven		
invention	2	ven		
inventor	2	ven		
invest	2	vest		
investigate	1			
investigation	1			
investment	1	vest		
invisible	1	vid		
invitation	2			
invite	2			
involve	1	volv		
inward	1			
iron	3			
irregular	1	reg		
island	3			
isolate	1	sol		
issue	2			
it	3			
Italian	3			
item	2			
its	3			
itself	3			
jacket	3			
jail	2			
jam	3			
January	3			
Japan	3			
Japanese	3			
jar	3			
jaw	3			
jazz	3			
jealous	2			
jet	3			
jewel	2			
jewish	3			
job	3			
join	3	junct		
joint	2	junct		
joke	3			
jolly	2			
journal	1			
journalist	1			
journey	2			
joy	3			
joyful	2			
judge	2	jud		
judgement	2	jud		
juice	3			
July	3			
jump	3			
June	3			
jungle	2			
junior	2			
jury	1	jud		
just	3	jud		
justice	2	jud		
justify	1	jud		
keen	2			
keep	3			
keeper	3			
kettle	3			
key	3			
keyboard	3			
kick	3			
kid	3			
