tender		0	
terminal	termin	1	
terrify		0	
terrorism		0	
terrorist		0	
theatrical		0	
theoretical		1	
thereby		1	
therefore		0	
thirst		0	
thorn		0	
thread		0	
threaten		0	
thrill		1	n. 兴奋，激动；vt. 使激动
throughout		0	
tick		0	
tidy		0	
tight		0	
tin		0	
toast		0	
tobacco		0	
token		1	n. 象征，标志；代币，礼券
tolerant		0	
toll		1	n. 通行费；伤亡人数；v. 鸣钟
ton		0	
topic		0	
torch		0	
toss		1	vt. 扔，抛；摇摆
touch		0	
tour		0	
tournament		1	n. 锦标赛，联赛
tow		1	vt. 拖，拉；n. 拖，牵引
trademark		1	n. 商标；标志
traffic		0	
trail		1	
transit	it	1	n. 运输，运送；通行
transmission		0	
transplant		1	vt. 移植；n. 移植的器官
trash		0	
treasure		0	
treatment		1	
treaty		1	
tremble		1	
trial		1	
trigger		1	vt. 引发，触发；n. 扳机
trim		1	
triumph		1	
trivial		1	a. 琐碎的，不重要的
troop		1	
tropical		1	
try		0	
tube		0	
tuck		0	
tumble		1	vi. 跌倒，滚落；暴跌
turn		0	
tutor		1	n. 导师，家庭教师；v. 辅导
twin		0	
uncertain		0	
uncover		0	
undergraduate	grad	1	
underground		0	
underline		1	
understand		0	
undo		0	
undoubtedly		0	
unify		0	
union		1	
unity		0	
unless		0	
unlike		0	
unlikely		0	
upper		0	
upright		1	
upset		0	
upward		0	
urgent	urg	1	
us		0	
used		0	
useful		0	
user		0	
usually		0	
utmost		1	
utter		1	
validate	val	1	vt. 证实；使生效
validity		0	
valuable		0	
value		0	
vapour		1	
variant		1	n. 变体，变种；a. 不同的
variation		0	
various		0	
vast		1	
velocity		1	
venture	ven	1	
verbal	verb	1	a. 言语的，口头的；动词的
verse	vert	1	n. 诗，诗节；韵文
vessel		1	
vibrate		1	
vice		1	
victory		0	
video		0	
view		0	
vigorous		1	
violence		1	
virtually		0	
virus		1	n. 病毒
vocal	voc	1	a. 嗓音的，发声的；直言的
volcano		1	
volunteer	vol	1	
vote		0	
waist		0	
warehouse		1	
warmth		0	
wax		0	
weaken		0	
weakness		0	
wealthy		0	
weapon		1	n. 武器，兵器
weep		0	
whip		0	
whisper		0	
whistle		0	
wipe		0	
wire		0	
wither		1	vi. 枯萎，凋谢；衰弱
wooden		0	
wrap		0	
yell		0	
