magnet	magn		拉丁 magnus(大)：磁石因古希腊 Magnesia 产地得名，同 magnificent、magnitude
magnetic	magn		拉丁 magnus(大)，同 magnet、magnitude
mainland			
mankind			
margin			
marriage			
mask			
mass			
masterpiece			
material			
mature			
meadow			
mechanic			
mechanical			
medal			
medical			
medicine	med		拉丁 medicus(医生)、mederi(治疗)，同 medical、medication
melt			
mend			
mercy	merc		拉丁 merces(报酬、恩惠→怜悯)，同 merchant、merchandise
mere			
merit			
mess			
metal			
midst	med		拉丁 medius(中间的)：middest(最中间) 缩合，与 med 同源，同 middle、medium
mild			
mineral	min		拉丁 minera(矿石) 与 min(小) 同族，指矿中析出的小块物质
miserable			
mislead			
misunderstand			
mixture			
moist			
moisture			
molecule			
mood			
moral	mor		拉丁 mos/morem(习俗、风尚)，同 morale
moreover			
mostly			
mount	mount		拉丁 mons/montem(山)，同 mountain、amount、dismount
mourn			
murder			
muscle			
mute			
mysterious			
mystery			
naked			
namely			
neighbourhood			
network			
neutral			
nevertheless			
noble			
nonsense			
note			
notice			
nowadays			
nuclear			
nucleus			
nuisance			
odd			
odour			
oppress			
orbit			
orchestra			
organ			
organic			
organization			
organize			
ought			
outlet			
outline			
outlook			
output			
outset			
outstanding			
outwards			
overall			
overcome			
overhead			
overlook			
overnight			
overseas			
overtake			
owe			
ownership			
pace	pass		拉丁 passus(步)，同 pass、passage、passenger
pain			
panel			
paradise			
passage	pass		拉丁 passus(步、通道)，同 pace、passenger
passenger	pass		拉丁 passus(步、通道)，同 pace、passage
pastime	pass	temp	pass(经过)+temp(时间)：消磨时间
patch			
pause			
pave			
peak			
peasant			
pebble			
peculiar			
peel			
period			
permanent			
personal			
personnel			
persuade			
pessimistic			
phase			
phenomenon			
phrase			
physical			
physician			
physics			
pierce			
pile			
pillar			
pilot			
pioneer	ped		拉丁 pedo(步兵)←pes/pedis(脚)，同 pedal、pedestrian
pitch			
pity			
plain			
